text,Label
 @_minniem00 lah scoreku aja 340 galolos kok kak hahahah lucu bgttt asli taun inituh kaya diprank Ã¥,Negatif
" @beasiswakaltim kapan nii pencairan udah lama loh nunggu, ga dipakai kan uang nyaa, awas loh ya kalau dipake uang nya tak totok kamu",Negatif
" @h.rudymasud  minta tolong pak biar ini bisa du selesai kan untuk pencairan nya, kasian udah banyak yang nungguin",Negatif
"seharusnya sejak awal di juknis bikin aja khusus akreditasi a, jadi kita ga ngambil tuntas, atau bahkan ga ngurus beasiswa kaltim tuntas. mending urus beasiswa kukar idaman kemaren",Negatif
" @saishonoko_ katanya begitu kak.. Yg tahun lalu 250 M, tahun ini dipangkas sama pj gubernur jadi 200 m.",Negatif
" @whooopsiw mungkin krna peminat semakin bnyak, makanya di naikkin jga supaya persaingan makin ketat",Negatif
@______why.me______  di Jukniss IPK minimal 3.00..saya pikir juga bakal masuk IPK 3.80 ternyata engga,Negatif
@______why.me______ perlu di curiga ya?,Negatif
@_rasyaramadhannn katanya lambat se Indonesia tp buktinya beasiswa di kaltara udah dari lama cair klo emg bermasalah seluruhnya ya yg disana ga cair jg sm kaya disini,Negatif
@ahmadmukhallishaqidihasmar itu suudah....lamanya jeda infonya kan udh sebulanan yg lalu bahwa tutup perbaikan rekening...ðŸ˜¢. Kebingungan cari alasan aja nih tim BKT...ðŸ˜ª,Negatif
@ahmmd_faiz namany ngerasa ipk tinggi kek rugi ga ambil tuntas,Negatif
@alieffahrizha nilai nya disuruh setara sama anak coc ruang guru,Negatif
@almuzakii @xbuzz46 modal ipk pas2an sama akre prodi c mau berharap apa guys,Negatif
@alpatnoor benar beasiswa banyak aturan...mending sekolah gratis aja dari pada beasiswa,Negatif
@alpatnoor itu sudah tahun sebelumnya aman aja kenapa kah tahun ini kada beres untuk persyaratan masi sama kenapakah kada lolos ðŸ˜Œ,Negatif
@alzulzen aneh aja rek aktif aja dan penyalurannya mencar2 ini ada yg dpat ada yg ga anak saya lohh rek aktif ga nongol juga,Negatif
@andrekhg Bang andre tlg bantu up beasiswa kaltim yang smpe saat ini blm cair  infonya pencairan d mulai tgl 20 september smpe saat ini sdh 1 bulan dan byk yang comment hampir sribuan smpe skrg belum dpat info kelanjutan untuk pencairan pastinya kapan kas,Negatif
@angeliaaakp_ khusus yang akre B diminta IPK 5 kali ya ðŸ«£,Negatif
@ardhi_pandawa sabar bang kita juga sama. Lagi nyusun skripsi butuh dana lumayan belum buat wisuda nanti,Negatif
@beasiswakaltim anda lucu,Negatif
@beasiswakaltim kepastian cair stimulan kapan min? Tahun kemarin cepat loh,Negatif
@chitanuari iya nihh masa sekelas unmul gk ada yg lolos. gk masuk akal bangettt,Negatif
@deswita.scj betulll. Harusnya di jelaskan lebih detail lagi,Negatif
@deswita.scj ihhh kak samaa kayak akuu sad bangetttðŸ˜­ðŸ˜­ðŸ˜­,Negatif
@deswita.scj ipk 8 mba biar dpt wkwk,Negatif
@deswita.scj kecewaðŸ˜¢,Negatif
@deswita.scj saddd bgtðŸ˜­,Negatif
@dikisuganda_ds ipk 3.8 ga lolos bkt anjay wkwk,Negatif
@dikisuganda_ds kawan saya bro prodi nya Akreditasi A tapi gak lolos juga ðŸ˜ŒðŸ™ðŸ»,Negatif
@dndymancrush iyaa eh kak aku mahasiswa akhir skripsi ipk 3.5 juga ga lolosss padahal nungguin bgtðŸ˜­ðŸ˜­,Negatif
@donrachman8 buat dulu grup baru kita aksi,Negatif
@dovpb mungkin UKT nya mahal semua mas jadi yaa skor nya di naik kanðŸ˜‚,Negatif
@dovpb Pengalaman tmn daftar tuntas akademik S2 thn 2021. dg akreditasi kmpus A dan prodi unggul plus ipk tinggi aja bisa gak lulus. Itu yg emg hrus jdi pertimbangan awal mau masuk pascasarjana di kampus mana dg bantuan BKT. Akreditasi kampus dan prodi se,Negatif
@eivannlilje ðŸ˜¢ðŸ˜¢ parah banget,Negatif
@febri20s penasaran apa lagi ya alasannyaðŸ¤”,Negatif
@fionadika dananya di sunat buat IKNðŸ¤£,Negatif
@firlyannda @vitriaa24 ah udh ga kaget knapa skoringnya setinggi ini wkwk ytta ðŸ¥´,Negatif
@flower.pink_dv min tadi pas komen tulisannya masih proses trus pas ada yg komen gagal salur tak cek punya ku gagal salur lagi pdahl rekening udh buat baru dan atas nama sendiri .. tolong penjelasannya ini gimna,Negatif
@flowerdarkness_ duhhh gimana dongg ini minn @beasiswakaltim kok lama banget pdhl kami juga butuh untuk kepentingan kuliahðŸ˜¢ðŸ˜¢,Negatif
@flowerdarkness_ iya min lama bgttttt taun iniii,Negatif
@gerindra @gerindra_samarinda @fraksipartaigerindra @prabowo @gibran_rakabuming gimana ini pak? Tolong diusut tuntas aliran dananya pak,Negatif
@gerindra mindraaa liat nii lama bgt cairnya beasiswa kaltim tuntas :( kan mau bayar spp :(,Negatif
@grcemzri mohon izin ibu @hetifah suara kami diaspirasikan ke gubernur,Negatif
@herryudha_p kalau kakak bilang jangan sempit pemikiran. Seharusnya pihak provinsi juga mempertimbangkan kesetaraan sistem akreditasi lama dengan yang baru. Sebab sejatinya secara skor akreditasi,Negatif
@hooniebby_ info kantornya gak sii biar demoðŸ˜­ðŸ˜­,Negatif
@hooniebby_ PASTI ADA SESUATU SIH YG DITUTUP2 I WKWKWKWK LOGIKANYA GK MUNGKIN SELAMA INI KALO CUMA BEBERAPA REKENING BERMASAH,Negatif
@inuu.nunuu kalau sampe tbtb hangus wahhh dzolim sekali sih,Negatif
@inuu.nunuu kecewa sih kita nunggu dri lama malah begini,Negatif
@isran.noor.official kai liatin kai lawas banar cairnya beasiswa wahini. kayak apa buannya ini kaiðŸ”¥,Negatif
@its.nanagf capek banget kak,Negatif
@itsmayboy emng kocak taun ini aturan,Negatif
@jl_leha iyaa curiga sama cara hitungnya,Negatif
@jmlvym iya anjay lama bgt sempat tahun baru ni,Negatif
@kimimak1 itu pang jadi curiga ðŸ˜‚,Negatif
@kinohara_riki bjir lamanya,Negatif
@lailaaaaaaaa___ menunggu itu sangat sakit sama seperti sikap dia wkwk,Negatif
@lxljdrvvjhfbbhh langsung demo aja,Negatif
@martinrianti gk tau nah lama bgt tahun lalu loh cepat ajh gk tau kenapa tahun ini lama bgt,Negatif
@martinrianti iya mana anggarannya di potong semoga cepat deh,Negatif
@mchtl_tte buat aja biar ramean nanya kesana emang susah kalau gak di paksa keknya di tahan mulu,Negatif
@mchtl_tte bujur koler banar ni pihak BKT,Negatif
@mchtl_tte kalo gitu harus tindak lanjut sih kita sebagai penerima kalo bisa deko sekalian soal transparansi pencairan,Negatif
@meckr_e harusnya khusus yang bermasalah rekeningnya aja,Negatif
@mraflids kpn dibalasnya?? sanggahanku blm ada balasan eh lama btl sdh,Negatif
@muayyub_atreides brti semua prodi s2 unmul gak bisa dpt beasiswa kaltim dong ya gr2 skoring begini. ,Negatif
@nadimass_ ini sama saja memberi harapan palsu pada orang yang memiliki ip tinggi namun univ dan prodi nya memiliki akreditasi B,Negatif
@nadimass_ NAH emang sengaja itu dibuat batas skoring dadakan wkwk,Negatif
@nbelaaacrs_ naikin skoring sesuka hatii duaarr naik selangitðŸ¤¨,Negatif
@nina.061094 pak presiden @prabowo..kasihan pak anak2 sekolah dan mahasiswa di kaltim yang udah lolos beasiswa..tp tidak ada tanda2 pencairan dananya pak..ðŸ˜¢ðŸ˜¢,Negatif
@novelfirmanz anggarannya kanda yg di pangkas wkwk,Negatif
@prabowo @gibran_rakabuming @gerindra pak tolong diusut pak lama sekali pencairan beasiswa ðŸ¥¹,Negatif
@pucuksingkong_ aku s2 kak. ipk 4. KADA LOLOS. wkwkwkw lawakkkk lawakkkk,Negatif
@ribkatarigan22 Beasiswa Akreditasi A Tuntas harusnya. Hapus kaltimnyaðŸ˜‚,Negatif
@salsashawbie MASI KESEL BGTT ARSGGGSHH,Negatif
@saniah2806 IPK 4 gak lolos utk S2 PT B dan prodi B. Minimal PT A/unggul supaya bisa naik skornya jadi 340 dari 331. Tapi akreditas Unmul malah turun wkwkwkw makin nyesel AE ngapa kepikiran kuliah di sini ðŸ˜‚,Negatif
@saniah2806 iyaa kecewa bgt sama skoring tahun ini terlalu tinggi skor 330 pun ga lolosðŸ˜­,Negatif
@saniah2806 kesel iya,Negatif
@saniah2806 masih gak masuk kak.. klo prodi B PT B biarpun ipk 4.. jdi tetap ada salah satu entah PT atau prodi yg A.. memang skoring tahun ini gak masuk akal entah kenapa,Negatif
@saniah2806 saya 4 tetap ga lolos kakðŸ˜¢,Negatif
@sholehsbrn__ aihhh kecewa penonton lamaaa betolllllll,Negatif
@sholehsbrn__ cape bngt yuyurrr,Negatif
@sptrakyyy Kecewa sih masa Ipk4 ga lolos nilai skoring mencukupi,Negatif
@syarifahriskaamalia lama jg trnyta thn iniðŸ˜Œ,Negatif
@tuty_1909 hanya 49 nama yang ada kendala namun berdampak ke semua ðŸ¤ŒðŸ½,Negatif
@vandejongh pengaruhny juga di akreditasi,Negatif
@wekiyudistira._ perpanjang terussss aja sampe 2025 sekalian ðŸ˜‚ðŸ˜‚ muak,Negatif
@yayaaliyyaa Alasan di website itu menunjukkan bahwa kinerja tim BKT sangatlah lambat,Negatif
@yourloveer1 berati gada tranparansi dong pihak bkt masa gaada kejelasan sama sekali sampe bulan ini hadehh,Negatif
@yourloveer1 harusnya kalo udah ditulis setelah tanggal 20 pasti sudah ada yg menerima tiap tiap bank bertahap tapi ini kok rata semua belum ada cair ya hehee,Negatif
@yourloveer1 Menjengkelkan,Negatif
"2 hari lalu ada berita, katanya tdk bisa dicairkan karena keterlambatan input data ke sipd sistem informasi pemerintah daerah yang katanya aplikasinya problem sejak dua bulan lalu, problemnya nasional, dilempar2 aja alasannya sama dinas pendidikan kaltim nih.",Negatif
"2 kata terlucu tahap penyaluran"". Bahkan satupun belum ada yang menerima sejak kata-kata itu keluar. Keluarkan kalo memang itu haknya anak-anak dan anggarannya memang sudah adam jangan sampai nunggu akhir tahun pas mau penutupan buku. Bahkan websitenya juga ga bisa dibuka sejak seminggu yg lalu.""",Negatif
"2 kata terlucu tahap penyaluran"". Bahkan satupun belum ada yang menerima sejak kata-kata itu keluar. Keluarkan kalo memang itu haknya anak-anak dan anggarannya memang sudah adam jangan sampai nunggu akhir tahun pas mau penutupan buku. Bahkan websitenya juga ga bisa dibuka sejak seminggu yg lalu.""",Negatif
2 minggu lalu ke kantr dinas pendidikan kata nya di atas tgl 10 pencairan tapi sampai sekarang belum ada ðŸ˜‚,Negatif
2030 kh baru cair ini awwahh,Negatif
3 kata lucu 'minggu depan cair',Negatif
4 kata lucu : bakal cair minggu ini ðŸ˜,Negatif
"ada ada aja kmrn penambahan wktu skrng status hilang. Serasa di ghosting 😂😂"";""9225295067"";""vamellash""",Negatif
Ada apa dengan pencairan tahun ini? Tahun kemarin cepat banget,Negatif
ada yang sampai gadai emas,Negatif
Ada yang sdh chat admin bkt-ny gak yg tertera di bio? Ini sick banget gak ada announcement Â¯â \â _â à² â _â à² â _â /â Â¯,Negatif
Ada yang udah dapet jawaban sanggahan ngak?,Negatif
Ada yg bisa ngelacak kah ni pj sama admin bkt,Negatif
"admin .. ini sdh minggu ke 2 november ga ada titik terang kah, ini ukt kampus saya udh nunggak sampai buat perjanjian Ã° Ã¢ ÂºÃ¯",Negatif
admin nya ga responsif nih banyak yang nanyain verifikasi tp ga ada balasan,Negatif
ADMIN NYA MAU DI DOAIN YG JELEKÂ² KAH SATU KALIMANTAN NI??? akalÂ²an aja njir bilang bnyak yg belum perbaiki akun.. preettttt,Negatif
admin whatsapp tuh kalo dichat emg gabakal dibales ya min? sudah 11 hari kerja cuma diread ajaðŸ˜¢,Negatif
ADMIN YANG TEHORMAT MOHON DIRESPON SEGERA KELUHAN PARA MAHASISISWA,Negatif
"admin, mau tanya pada dasboard pencairan gagal salur kenapa ya min. mohon pencerahannya",Negatif
"Adminn ooo adminn, tolong di perjelas dong min, ga logis banget skorsingnya jauh tinggi dari taun lalu",Negatif
ADMINNNN AAARRGGG NANGISS BNGT BUTUH BUAT SKRIPSI ðŸ˜­ðŸ˜­,Negatif
aduh mau bayar spp cicilan kedua ðŸ˜­,Negatif
"Agak aneh sih BKT tahun ini, gara2 49 rekening bermasalah terus pencairan jadi pending. Padahal tahun2 sebelumnya bisa tetep cair on schedule. Yg bermasalah ya ngurus perbaikan no. Rekeningnya. Kalo uda beres beasiswanya di trf menyusul ke rekeningnya.",Negatif
"Agak lain sih dari sebanyak itu yg daftar masa ga ada yg lolos satupun,udh nunggu lama ternyata ga ada yg lolos ???›",Negatif
"agakÂ² emang, yg akademik gk diitung",Negatif
agenda perpanjang lagi nanti tu,Negatif
Aih php Mulu,Negatif
akademik gk diitung,Negatif
Akademik nya diasingkan ðŸ¤£,Negatif
"Akreditasi A UGM tidak memenuhi scoring, semoga Kai kembali terpilih, terlalu mmng PJ Gubernur skrg",Negatif
"Akreditasi prodi spesialis A, dari UI akreditasi A, IPK 3.6+ gak lolos...
Ruined my dreams",Negatif
"aku 3,8 gk lolos Ã¥",Negatif
Aku anak yatim ko ga pernah dikasi lolos yaa? Sedangkan temen kampus sendiri yang dikalangan orang berada,Negatif
Aku ikut dari 22-23-24 ga dpt mulu ðŸ˜¢,Negatif
alasan anggaran di potong apa min?,Negatif
amanahnya ya,Negatif
"Anak saya juga IPK 3.80 tidak masuk batas skorsing, mohon pencerahannya berapa batas akhirnya, karena saya liat di pengumuman waktu pendaftaran 3.25 bisa masuk",Negatif
"Anak sy IPK 4 prodi farmasi Unmul, ga msk skor kategori tuntas hedeehh???›???›,parahhh THN ini",Negatif
anak sy score jg tinggi IPK 3.8 Krn masukan biaya ukt dgn yg d upload beda 2000 pdhal itu biaya admin bank...smoga msh BS d sanggah Krn score masuk hanya d tolak Krn TDK sama biaya ukt dgn  bukti trf,Negatif
aneh,Negatif
aneh banget,Negatif
"Aneh banget, ditulis minimal skor stimulan prestasi akademi 310 dan aku 332 tertulis tidak masuk minimal skoring??? Asli freak banget",Negatif
"aneh banget, udah usaha nilai tinggi ehh gara gara akreditas b malah ga loloss, kalau gitu mending tulis aja minimal keterima harus akreditas a",Negatif
"ANEH.. TIDAK LOLOS VERIFIKASI KARENA MENGUNGGAH BUKAN BUKTI PEMBAYARAN UKT/SPP SATU SEMESTER TERAKHIR(SAAT PENDAFTARAN BEASISWA/TERBARU)/HANYA BERUPA SURAT PEMBERITAHUAN PEMBAYARAN  he""",Negatif
ang ang ang ang lamanya,Negatif
ANGGARAN DI POTONG TUH KARENA APAAN ? BUKANNYA DI TAMBAH,Negatif
Anggaran dipotong karena covid? Mau tanya covidnya tahun berapa sih kok potong anggarannya taun ini wkkwkw,Negatif
anggaran sebanyak itu kenapa pake di pangkas,Negatif
Angka 4 pun saya g bisa lolosðŸ˜¢. Apakah karna sy kuliah diunmul,Negatif
anjay tinggi banar,Negatif
Ankku sd aj ga dpt pdhl sdh berharap,Negatif
Apa gunanya min di kasih minimal nilai IPK klw begini hasilnyaðŸ˜¢ sakit hati bgt sama skoring,Negatif
Apa ini cuman kasih pemberitahuan aja baru gak cair cair juga,Negatif
Apa juga kendalanya tinggal di kirim aja kok kalau yang sudah perbaiki,Negatif
"apa sih fungsi sebenarnya akun ini cape banget, kalian buat program gini kami yang berharap bisa membantu kebutuhan di perantauan malah ga ada kejelasan kaya gini",Negatif
Apa yang jalur prestasi juga pake skoring ya nilai tidak masuk sekoring lah anak saya pake jalur prestasi non akademik  ga tau nilainya berapa gimana itu mohon penjelasannya,Negatif
Apalagi alasan kalian wahai admin,Negatif
Apalah masuk rangking ku 5 besar pun ga lolos,Negatif
APALAHH LAMA BETT PENCAIRANNYA ðŸ˜­,Negatif
"asli ga profesional banget yang kerja di pemerintahan, sebelumnya stafnya bilang pencairan dana paling lambat desember tgl 12 sedangkan sampai saat ini masih belum ada kabar, gini nih kalo pemerintahan isinya orang-orang yg ga kompeten dan profesional, kasian banyak siswa dan mahasiswa yang benar-benar butuh biaya utk pendidikan saat ini",Negatif
asli knp tega bgt ðŸ˜­,Negatif
"asli sih ini nunggu mahasiswa dah lulus apa ya, biar cairnya dialihkan ke staff",Negatif
"astagfirullah, mw sampai kapan ini beasiswa tertunda, tahun kmrin agustus sudah penyaluran tahap 1. betul2 sangat mengecewakan.",Negatif
at least kasih kepastian min cairnya jangan ngegantung gini,Negatif
ayo cair lah butuh biaya kuliah ini,Negatif
Ayok kita buat grup terus demo guys biar di notice,Negatif
Ayokk kita samaÂ² up ke mediaa,Negatif
ayoo min sudah mau sebulan dari tgl pengumuman,Negatif
AYOOO MIN KAPAN CAIR NYA INI UDAH MAU AKHIR TAHUNNN TLGGGG!! MINIMAL WA DIBALAS MINðŸ˜­,Negatif
bagaimana dengan anggaran bkt ini pak? ini sudah awal bulan tetapi sama sekali belom ada hilalnya permasalahan pencairan dana bkt ini. banyak mahasiswa yg menunggu dana pencarian ini pak untuk keperluan pembayaran ukt yg sudah menunggak,Negatif
Bagaimana ini min aduh anehh bin ajaib BG @abdulgiaz99 minta tolong di up mana tau BS di respon ðŸ˜­,Negatif
Bagaimanakah jika tidak masuk skoring ini ....dulu nda pake begitu ya tapi sekarang pke.nasib nasib,Negatif
bah lawasnya pangðŸ˜­,Negatif
Baiyuhh lamaneeee hedehhh,Negatif
Bakal diterima ngga yaðŸ˜¢,Negatif
Banyak juga yg komplain nih ðŸ¤­ @valprojectx  gak setransparan dulu ya waktu zaman kita kuliah th 2010-2011,Negatif
banyak yang belum tersalurkan,Negatif
Bapak PJ Gubernur Terhormat kira kira kapankan pencairan dana BKT dikarenakan dari perbaikan rekening sudah hendak sebulan Bapak. Mohon tanggapannya BapakðŸ™Œ @piliangkemal,Negatif
"Baru kali ini ngurus beasiswa tapi pengumuman nya lama, biasa nggak, tau2 gak lolos, dari sd-semester kemaren lolos2 aja bagian kategori anak/cucu veteran🤦🏻‍♀️",Negatif
"batas skor yang dilampirkan pada situs beasiswa kaltim untuk stimulan khusus tugas akhir s1 sebesar 306,364 sedangkan skor saya diatas batas skor sebesar 316.000 tetapi kenapa keterangan yg saya dapat tidak masuk batas skoring",Negatif
"bay kasihan kita lanjut semester 9 berharap bkt bayar semester Ã¥ , mana akreditasi b semua pula 306. buat dilihat aja",Negatif
"beasiswa gagal salur tahap 1, sudah perbaikan dan proses. sampai saat ini blm cair. dan sudah ada lagi tahap iv apbd perubahan. sdh 2 bulan menunggu. tolong didahulukan kami yg gagal salur min",Negatif
beasiswa harusnya sudah cair dari bulan lalu smpe skrg masi alasan perbaikan rekening wahh kacau nih @official.kpk,Negatif
"BEASISWA KALTIM TUNTAS MAHASISWA GA ADIL SKORINGNYA GA NGOTAK, TOLONG DONG PEMERINTAH IPK 4, PT B PRODI B GAK LOLOS",Negatif
"beasiswa khusus akreditasi univ dan prodi a ini mah Ã¥ Ã¥ Ã¥ , ip ga ada ngaruhnya sama sekali",Negatif
"Beasiswa kocak akre B dengan skor 318,000 bsa masuk tuntas kyapa???œ sdngkan saya akre A skor 318,000 tidak masuk",Negatif
beasiswa terkocak jatuh kepadaaa BKT 2024ðŸ¤©,Negatif
Behbehh lamanyaaaaaaa,Negatif
"bela2in pertahanin ipk 4 tetap gk lolos, jadi males kuliah",Negatif
"benar kak, masalahnya ga semua anak kaltim cukup dana untuk merantau ke daerah yg univ sudah akreditasi a unggul. ada yg sudah berjuang dari daerahnya ke samarinda balikpapan aja sudah berat biaya Ã¢ Âº",Negatif
Benar-benar sistem penyaringan dan penyaluran tahun ini membingungkan,Negatif
bener bener lawak skoring tahun ini,Negatif
"bener penilain nya ga adil dari tahun sebelumnya. kaltim surga-nya baru bara dan minyak bumi yakali ada pengurangan anggaran, gengsi lah minn",Negatif
BenerÂ² kecewa,Negatif
"berarti di juknis khusus untuk prodi s2 minimal akreditasi a ipk 4. kalau mrk tau anggaran tidak cukup di juknis seharunya jg di revisi, jgn di samakan dengan tahun2 sblmnya yg anggarannya besar.",Negatif
