text,Label
"2 hari lalu ada berita, katanya tdk bisa dicairkan karena keterlambatan input data ke sipd sistem informasi pemerintah daerah yang katanya aplikasinya problem sejak dua bulan lalu, problemnya nasional, dilempar2 aja alasannya sama dinas pendidikan kaltim nih.",Negatif
"2 kata terlucu tahap penyaluran"". Bahkan satupun belum ada yang menerima sejak kata-kata itu keluar. Keluarkan kalo memang itu haknya anak-anak dan anggarannya memang sudah adam jangan sampai nunggu akhir tahun pas mau penutupan buku. Bahkan websitenya juga ga bisa dibuka sejak seminggu yg lalu.""",Negatif
2 minggu lalu ke kantr dinas pendidikan kata nya di atas tgl 10 pencairan tapi sampai sekarang belum ada,Negatif
2030 kh baru cair ini awwahh,Negatif
"3 kata lucu cair minggu ini"" ??""",Negatif
4 kata lucu : bakal cair minggu ini ??,Negatif
4 minggu masi belom ada info pencairan ð,Negatif
4 tetap ga lolos kak,Negatif
â º â º parah banget,Negatif
ð ð ð ð ð ð ð ð ð ð scam,Negatif
"??Sem akhir udah habis +8 jt, dan belum ada tanda pencairan yg belum tentu ter cover full",Negatif
"ada ada aja kmrn penambahan wktu skrng status hilang. Serasa di ghosting ????"";""9225295067"";""vamellash""",Negatif
Ada apa dengan pencairan tahun ini? Tahun kemarin cepat banget,Negatif
ada yang sampai gadai emas,Negatif
Ada yang sdh chat admin bkt-ny gak yg tertera di bio? Ini sick banget gak ada announcement �?\?_???_???_?/?�,Negatif
ada yang udah dapet jawaban sanggahan ngak,Negatif
ada yg bisa ngelacak kah ni pj sama admin bkt,Negatif
"admin .. ini sdh minggu ke 2 november ga ada titik terang kah, ini ukt kampus saya udh nunggak sampai buat perjanjian ð â ºï",Negatif
admin nya ga responsif nih banyak yang nanyain verifikasi tp ga ada balasan,Negatif
ADMIN NYA MAU DI DOAIN YG JELEK� KAH SATU KALIMANTAN NI??? akal�an aja njir bilang bnyak yg belum perbaiki akun.. Preettttt,Negatif
admin whatsapp tuh kalo dichat emg gabakal dibales ya min sudah 11 hari kerja cuma diread aja,Negatif
ADMIN YANG TEHORMAT MOHON DIRESPON SEGERA KELUHAN PARA MAHASISISWA,Negatif
"admin, mau tanya pada dasboard pencairan gagal salur kenapa ya min. mohon pencerahannya",Negatif
"Adminn ooo adminn, tolong di perjelas dong min, ga logis banget skorsingnya jauh tinggi dari taun lalu",Negatif
"""ADMINNNN AAARRGGG NANGISS BNGT BUTUH BUAT SKRIPSI ????????""",Negatif
adminnya dr kmrn ngomongnya gini trs tp smpe skrng blm ada kepastian,Negatif
aduh mau bayar spp cicilan kedua ð,Negatif
"Agak aneh sih BKT tahun ini, gara2 49 rekening bermasalah terus pencairan jadi pending. Padahal tahun2 sebelumnya bisa tetep cair on schedule. Yg bermasalah ya ngurus perbaikan no. Rekeningnya. Kalo uda beres beasiswanya di trf menyusul ke rekeningnya.",Negatif
"Agak lain sih dari sebanyak itu yg daftar masa ga ada yg lolos satupun,udh nunggu lama ternyata ga ada yg lolos ???�",Negatif
"agak² emang, yg akademik gk diitung",Negatif
agenda perpanjang lagi nanti tu,Negatif
ah udh ga kaget knapa skoringnya setinggi ini ytta â,Negatif
aih php mulu,Negatif
aihhh kecewa penonton lamaaa betolllllll,Negatif
akademik nya diasingkan,Negatif
akibat besiswa di kaltim di kurangin,Negatif
"Akreditasi A UGM tidak memenuhi scoring, semoga Kai kembali terpilih, terlalu mmng PJ Gubernur skrg",Negatif
"Akreditasi prodi spesialis A, dari UI akreditasi A, IPK 3.6+ gak lolos...
Ruined my dreams",Negatif
"aku 3,8 gk lolos å",Negatif
Aku anak yatim ko ga pernah dikasi lolos yaa? Sedangkan temen kampus sendiri yang dikalangan orang berada,Negatif
Aku ikut dari 22-23-24 ga dpt mulu ??,Negatif
aku s2 kak. ipk 4. kada lolos. wkwkwkw lawakkkk lawakkkk,Negatif
alasan anggaran di potong apa min,Negatif
alasan di website itu menunjukkan bahwa kinerja tim bkt sangatlah lambat,Negatif
amanahnya ya,Negatif
"Anak saya juga IPK 3.80 tidak masuk batas skorsing, mohon pencerahannya berapa batas akhirnya, karena saya liat di pengumuman waktu pendaftaran 3.25 bisa masuk",Negatif
"Anak sy IPK 4 prodi farmasi Unmul, ga msk skor kategori tuntas hedeehh???�???�,parahhh THN ini",Negatif
anak sy score jg tinggi ipk 3.8 krn masukan biaya ukt dgn yg d upload beda 2000 pdhal itu biaya admin bank...smoga msh bs d sanggah krn score masuk hanya d tolak krn tdk sama biaya ukt dgn bukti trf,Negatif
"""@beasiswakaltim anda lucu""",Negatif
aneh,Negatif
aneh aja rek aktif aja dan penyalurannya mencar2 ini ada yg dpat ada yg ga anak saya lohh rek aktif ga nongol juga,Negatif
aneh banget,Negatif
"Aneh banget, ditulis minimal skor stimulan prestasi akademi 310 dan aku 332 tertulis tidak masuk minimal skoring??? Asli freak banget",Negatif
"aneh banget, udah usaha nilai tinggi ehh gara gara akreditas b malah ga loloss, kalau gitu mending tulis aja minimal keterima harus akreditas a",Negatif
